iterations,path_length,computation_time
500,nan,0.15916609996929765
1000,13.808447631901693,0.5898415999836288
2000,12.637041300518115,2.148663000029046
3000,12.573824629438928,4.412393899983726
4000,12.516648298046073,9.740230099996552
5000,12.460154604781803,11.843886200047564
